# HunStat2 CV | E4_window100
# v_start_mV=-100 v_stop_mV=100 estep_mV=5 scan_rate_mV_s=200 cycles=1
# fRcal_set_ohm=200.0 rtia_calibrated_ohm=1093.125
# cell=we-C Randles Rs=560.0 Rct=10000.0 Cdl=3.3e-08
potential_mV,current_uA
-104.7600,-9.900000
-99.9300,-9.430000
-95.0900,-8.980000
-90.2600,-8.500000
-85.4200,-8.060000
-80.5900,-7.620000
-75.7500,-7.170000
-70.9200,-6.690000
-66.0800,-6.250000
-61.2500,-5.810000
-56.4100,-5.330000
-51.5800,-4.880000
-46.7400,-4.440000
-41.9000,-4.000000
-37.0700,-3.520000
-32.2300,-3.070000
-27.4000,-2.600000
-22.5600,-2.150000
-17.7300,-1.710000
-12.8900,-1.230000
-8.0600,-0.790000
-3.2200,-0.340000
1.6100,0.140000
6.4500,0.580000
11.2800,1.020000
16.1200,1.500000
20.9500,1.980000
25.7900,2.420000
30.6200,2.870000
35.4600,3.310000
40.2900,3.790000
45.1300,4.230000
49.9600,4.680000
54.8000,5.160000
59.6300,5.600000
64.4700,6.050000
69.3000,6.520000
74.1400,6.970000
78.9700,7.450000
83.8100,7.890000
88.6400,8.330000
83.8100,7.890000
78.9700,7.450000
74.1400,6.970000
69.3000,6.520000
64.4700,6.080000
59.6300,5.600000
54.8000,5.160000
49.9600,4.710000
45.1300,4.230000
40.2900,3.790000
35.4600,3.310000
30.6200,2.870000
25.7900,2.420000
20.9500,1.950000
16.1200,1.500000
11.2800,1.060000
6.4500,0.610000
1.6100,0.140000
-3.2200,-0.310000
-8.0600,-0.790000
-12.8900,-1.230000
-17.7300,-1.670000
-22.5600,-2.150000
-27.4000,-2.600000
-32.2300,-3.040000
-37.0700,-3.520000
-41.9000,-3.960000
-46.7400,-4.440000
-51.5800,-4.880000
-56.4100,-5.330000
-61.2500,-5.810000
-66.0800,-6.250000
-70.9200,-6.730000
-75.7500,-7.170000
-80.5900,-7.620000
-85.4200,-8.060000
-90.2600,-8.500000
-95.0900,-8.980000
-99.9300,-9.460000
-104.7600,-9.900000
-109.6000,-10.350000
