# HunStat2 CV | E4_window400
# v_start_mV=-400 v_stop_mV=400 estep_mV=5 scan_rate_mV_s=200 cycles=1
# fRcal_set_ohm=200.0 rtia_calibrated_ohm=1093.031
# cell=we-C Randles Rs=560.0 Rct=10000.0 Cdl=3.3e-08
potential_mV,current_uA
-404.5400,-38.120000
-399.7100,-37.670000
-394.8700,-37.230000
-390.0400,-36.790000
-385.2000,-36.310000
-380.3700,-35.860000
-375.5300,-35.420000
-370.7000,-34.940000
-365.8600,-34.500000
-361.0300,-34.050000
-356.1900,-33.610000
-351.3600,-33.130000
-346.5200,-32.690000
-341.6900,-32.240000
-336.8500,-31.760000
-332.0100,-31.320000
-327.1800,-30.840000
-322.3400,-30.400000
-317.5100,-29.950000
-312.6700,-29.480000
-307.8400,-29.030000
-303.0000,-28.550000
-298.1700,-28.110000
-293.3300,-27.670000
-288.5000,-27.220000
-283.6600,-26.780000
-278.8300,-26.300000
-273.9900,-25.820000
-269.1600,-25.380000
-264.3200,-24.930000
-259.4900,-24.460000
-254.6500,-24.010000
-249.8200,-23.570000
-244.9800,-23.120000
-240.1500,-22.650000
-235.3100,-22.200000
-230.4800,-21.760000
-225.6400,-21.310000
-220.8100,-20.830000
-215.9700,-20.360000
-211.1400,-19.950000
-206.3000,-19.470000
-201.4700,-19.020000
-196.6300,-18.550000
-191.7900,-18.100000
-186.9600,-17.660000
-182.1200,-17.180000
-177.2900,-16.740000
-172.4500,-16.290000
-167.6200,-15.810000
-162.7800,-15.370000
-157.9500,-14.890000
-153.1100,-14.480000
-148.2800,-14.000000
-143.4400,-13.560000
-138.6100,-13.080000
-133.7700,-12.640000
-128.9400,-12.160000
-124.1000,-11.720000
-119.2700,-11.270000
-114.4300,-10.830000
-109.6000,-10.350000
-104.7600,-9.910000
-99.9300,-9.430000
-95.0900,-8.980000
-90.2600,-8.540000
-85.4200,-8.060000
-80.5900,-7.620000
-75.7500,-7.170000
-70.9200,-6.730000
-66.0800,-6.250000
-61.2500,-5.810000
-56.4100,-5.330000
-51.5800,-4.880000
-46.7400,-4.440000
-41.9000,-3.960000
-37.0700,-3.520000
-32.2300,-3.040000
-27.4000,-2.600000
-22.5600,-2.150000
-17.7300,-1.670000
-12.8900,-1.230000
-8.0600,-0.790000
-3.2200,-0.340000
1.6100,0.140000
6.4500,0.580000
11.2800,1.060000
16.1200,1.500000
20.9500,1.950000
25.7900,2.430000
30.6200,2.870000
35.4600,3.350000
40.2900,3.790000
45.1300,4.240000
49.9600,4.680000
54.8000,5.160000
59.6300,5.600000
64.4700,6.050000
69.3000,6.520000
74.1400,7.000000
78.9700,7.450000
83.8100,7.890000
88.6400,8.330000
93.4800,8.810000
98.3200,9.260000
103.1500,9.730000
107.9900,10.180000
112.8200,10.620000
117.6600,11.100000
122.4900,11.540000
127.3300,11.990000
132.1600,12.430000
137.0000,12.910000
141.8300,13.350000
146.6700,13.830000
151.5000,14.280000
156.3400,14.720000
161.1700,15.170000
166.0100,15.640000
170.8400,16.090000
175.6800,16.570000
180.5100,16.980000
185.3500,17.450000
190.1800,17.900000
195.0200,18.380000
199.8500,18.820000
204.6900,19.260000
209.5200,19.740000
214.3600,20.190000
219.1900,20.630000
224.0300,21.110000
228.8600,21.550000
233.7000,22.000000
238.5300,22.470000
243.3700,22.920000
248.2100,23.400000
253.0400,23.840000
257.8800,24.280000
262.7100,24.730000
267.5500,25.210000
272.3800,25.650000
277.2200,26.090000
282.0500,26.570000
286.8900,27.020000
291.7200,27.460000
296.5600,27.940000
301.3900,28.420000
306.2300,28.860000
311.0600,29.310000
315.9000,29.750000
320.7300,30.230000
325.5700,30.670000
330.4000,31.120000
335.2400,31.590000
340.0700,32.040000
344.9100,32.480000
349.7400,32.930000
354.5800,33.400000
359.4100,33.850000
364.2500,34.290000
369.0800,34.770000
373.9200,35.210000
378.7500,35.660000
383.5900,36.140000
388.4200,36.580000
383.5900,36.140000
378.7500,35.660000
373.9200,35.210000
369.0800,34.740000
364.2500,34.290000
359.4100,33.850000
354.5800,33.400000
349.7400,32.930000
344.9100,32.480000
340.0700,32.000000
335.2400,31.560000
330.4000,31.120000
325.5700,30.670000
320.7300,30.190000
315.9000,29.750000
311.0600,29.310000
306.2300,28.830000
301.3900,28.380000
296.5600,27.910000
291.7200,27.460000
286.8900,27.020000
282.0500,26.570000
277.2200,26.090000
272.3800,25.650000
267.5500,25.210000
262.7100,24.730000
257.8800,24.280000
253.0400,23.840000
248.2100,23.360000
243.3700,22.920000
238.5300,22.440000
233.7000,22.000000
228.8600,21.550000
224.0300,21.070000
219.1900,20.630000
214.3600,20.190000
209.5200,19.710000
204.6900,19.260000
199.8500,18.820000
195.0200,18.340000
190.1800,17.900000
185.3500,17.450000
180.5100,16.980000
175.6800,16.530000
170.8400,16.090000
166.0100,15.610000
161.1700,15.170000
156.3400,14.720000
151.5000,14.280000
146.6700,13.800000
141.8300,13.350000
137.0000,12.910000
