# HunStat2 CV | E2_rcal10000_2
# v_start_mV=-200 v_stop_mV=200 estep_mV=5 scan_rate_mV_s=200 cycles=1
# fRcal_set_ohm=10000 rtia_calibrated_ohm=5703.137
# cell=we-C Randles Rs=560.0 Rct=10000.0 Cdl=3.3e-08
potential_mV,current_uA
-204.6900,-3.700000
-199.8500,-3.610000
-195.0200,-3.530000
-190.1800,-3.440000
-185.3500,-3.350000
-180.5100,-3.270000
-175.6800,-3.170000
-170.8400,-3.090000
-166.0100,-3.000000
-161.1700,-2.910000
-156.3400,-2.830000
-151.5000,-2.740000
-146.6700,-2.650000
-141.8300,-2.570000
-137.0000,-2.480000
-132.1600,-2.390000
-127.3300,-2.300000
-122.4900,-2.210000
-117.6600,-2.130000
-112.8200,-2.040000
-107.9900,-1.950000
-103.1500,-1.870000
-98.3200,-1.780000
-93.4800,-1.700000
-88.6400,-1.600000
-83.8100,-1.520000
-78.9700,-1.430000
-74.1400,-1.340000
-69.3000,-1.260000
-64.4700,-1.170000
-59.6300,-1.080000
-54.8000,-1.000000
-49.9600,-0.900000
-45.1300,-0.820000
-40.2900,-0.730000
-35.4600,-0.650000
-30.6200,-0.560000
-25.7900,-0.470000
-20.9500,-0.380000
-16.1200,-0.290000
-11.2800,-0.200000
-6.4500,-0.120000
-1.6100,-0.030000
3.2200,0.060000
8.0600,0.140000
12.8900,0.230000
17.7300,0.310000
22.5600,0.410000
27.4000,0.490000
32.2300,0.580000
37.0700,0.670000
41.9000,0.750000
46.7400,0.840000
51.5800,0.930000
56.4100,1.010000
61.2500,1.110000
66.0800,1.190000
70.9200,1.280000
75.7500,1.370000
80.5900,1.450000
85.4200,1.540000
90.2600,1.630000
95.0900,1.720000
99.9300,1.810000
104.7600,1.890000
109.6000,1.980000
114.4300,2.060000
119.2700,2.150000
124.1000,2.240000
128.9400,2.330000
133.7700,2.420000
138.6100,2.500000
143.4400,2.590000
148.2800,2.680000
153.1100,2.760000
157.9500,2.850000
162.7800,2.940000
167.6200,3.020000
172.4500,3.120000
177.2900,3.200000
182.1200,3.290000
186.9600,3.370000
182.1200,3.290000
177.2900,3.200000
172.4500,3.120000
167.6200,3.020000
162.7800,2.940000
157.9500,2.850000
153.1100,2.760000
148.2800,2.680000
143.4400,2.590000
138.6100,2.500000
133.7700,2.420000
128.9400,2.320000
124.1000,2.240000
119.2700,2.150000
114.4300,2.070000
109.6000,1.980000
104.7600,1.890000
99.9300,1.810000
95.0900,1.720000
90.2600,1.630000
85.4200,1.540000
80.5900,1.460000
75.7500,1.370000
70.9200,1.280000
66.0800,1.190000
61.2500,1.110000
56.4100,1.010000
51.5800,0.930000
46.7400,0.840000
41.9000,0.750000
37.0700,0.670000
32.2300,0.580000
27.4000,0.500000
22.5600,0.410000
17.7300,0.310000
12.8900,0.230000
8.0600,0.140000
3.2200,0.060000
-1.6100,-0.030000
-6.4500,-0.120000
-11.2800,-0.200000
-16.1200,-0.290000
-20.9500,-0.380000
-25.7900,-0.460000
-30.6200,-0.560000
-35.4600,-0.640000
-40.2900,-0.730000
-45.1300,-0.820000
-49.9600,-0.900000
-54.8000,-1.000000
-59.6300,-1.080000
-64.4700,-1.170000
-69.3000,-1.260000
-74.1400,-1.340000
-78.9700,-1.430000
-83.8100,-1.520000
-88.6400,-1.600000
-93.4800,-1.690000
-98.3200,-1.780000
-103.1500,-1.870000
-107.9900,-1.960000
-112.8200,-2.040000
-117.6600,-2.130000
-122.4900,-2.210000
-127.3300,-2.300000
-132.1600,-2.390000
-137.0000,-2.480000
-141.8300,-2.570000
-146.6700,-2.650000
-151.5000,-2.740000
-156.3400,-2.830000
-161.1700,-2.910000
-166.0100,-3.000000
-170.8400,-3.090000
-175.6800,-3.170000
-180.5100,-3.270000
-185.3500,-3.350000
-190.1800,-3.440000
-195.0200,-3.530000
-199.8500,-3.610000
-204.6900,-3.710000
-209.5200,-3.790000
